   22  983    0
    .1424427E-01    .3776990E+01    .7748920E+01   -.1882711E+01
    .1360121E-01    .1962853E+01    .8235016E+01   -.1882711E+01
    .1291080E-01    .1487163E+00    .7748920E+01   -.1882711E+01
    .1311345E-01   -.1179324E+01    .6420879E+01   -.1882711E+01
    .1350068E-01    .4504928E+01    .6453668E+01   -.3696848E+01
    .1500300E-01    .2933839E+01    .7595131E+01   -.3696848E+01
    .1625646E-01    .9918671E+00    .7595131E+01   -.3696848E+01
    .1858135E-01   -.5792216E+00    .6453668E+01   -.3696848E+01
    .1204050E-01    .3776990E+01    .4606742E+01   -.5024889E+01
    .1543270E-01    .2869922E+01    .6177831E+01   -.5024889E+01
    .1857900E-01    .1055785E+01    .6177831E+01   -.5024889E+01
    .9617734E-02    .2869922E+01    .3035654E+01   -.5024889E+01
    .1713037E-01    .1962853E+01    .4606742E+01   -.5510985E+01
   -.1220011E-01    .1582487E+01    .3949326E+01    .4988532E+01
    .2276405E-02    .3396624E+01    .3949326E+01    .4502435E+01
    .4115973E-03    .2489556E+01    .5520415E+01    .4502435E+01
   -.8599552E-02    .6754189E+00    .5520415E+01    .4502435E+01
   -.8942145E-02    .2489556E+01    .2378237E+01    .4502435E+01
    .5563900E-02    .2553474E+01    .6937714E+01    .3174395E+01
   -.1632234E-03    .6115012E+00    .6937714E+01    .3174395E+01
   -.1442660E-01   -.9595875E+00    .5796252E+01    .3174395E+01
    .7919313E-02    .1582487E+01    .7577600E+01    .1360258E+01
    .1977339E-02   -.2316495E+00    .7091503E+01    .1360258E+01
   -.9459202E-02   -.1559690E+01    .5763463E+01    .1360258E+01
    .7367455E-02    .1605801E+01    .2196450E+00   -.6123329E+01
    .1805602E-01   -.1799639E+01    .4587638E+01   -.1662966E+01
    .2060687E-01   -.2642790E+01    .4741428E+01   -.3477103E+01
    .1929505E-01   -.3970830E+01    .3413387E+01   -.3477103E+01
    .2327062E-01    .1423332E+00    .4587638E+01   -.5291240E+01
    .2288644E-01   -.1799639E+01    .4587638E+01   -.5291240E+01
    .2396710E-01   -.3370728E+01    .3446176E+01   -.5291240E+01
    .3152472E-01   -.3970830E+01    .1599250E+01   -.5291240E+01
    .1421774E-01    .9854839E+00    .1599250E+01   -.6619280E+01
    .1973333E-01    .7841546E-01    .3170339E+01   -.6619280E+01
    .2274159E-01   -.1735721E+01    .3170339E+01   -.6619280E+01
    .2554584E-01   -.2642790E+01    .1599250E+01   -.6619280E+01
    .2329113E-01   -.1735721E+01    .2816146E-01   -.6619280E+01
    .1478654E-01    .7841546E-01    .2816146E-01   -.6619280E+01
    .1980081E-01   -.8286530E+00    .1599250E+01   -.7105377E+01
    .1508160E-02   -.2120742E+01   -.4783535E+01   -.2868308E+01
   -.2609502E-01   -.3066046E+00   -.5269632E+01   -.2868308E+01
    .2824808E-01   -.2848679E+01   -.3488284E+01   -.4682445E+01
    .5535785E-02   -.1277591E+01   -.4629746E+01   -.4682445E+01
   -.1252553E-01    .6643816E+00   -.4629746E+01   -.4682445E+01
   -.2009037E-01    .2235470E+01   -.3488284E+01   -.4682445E+01
    .3391296E-02    .1507532E+01   -.1641358E+01   -.6010485E+01
    .2682892E-01   -.2120742E+01   -.1641358E+01   -.6010485E+01
    .1488308E-01   -.1213673E+01   -.3212447E+01   -.6010485E+01
    .3282640E-02    .6004639E+00   -.3212447E+01   -.6010485E+01
    .1372812E-01   -.3066046E+00   -.1641358E+01   -.6496582E+01
   -.2862612E-01   -.2908109E+01   -.3231600E+01    .2829659E+01
   -.1192587E-01   -.5160321E+01    .3735152E+01    .1011128E+01
   -.3377554E-01   -.1419573E+01   -.4032591E+01    .1011128E+01
    .6465815E-02   -.3387385E+01    .4588954E+01   -.1007289E+01
   -.4545774E-01   -.1989192E+01    .9870498E+00    .6387866E+01
   -.4399332E-01   -.1525678E+00    .9870498E+00    .5968668E+01
   -.4287463E-01   -.1070880E+01    .2577613E+01    .5968668E+01
   -.4279592E-01   -.2907504E+01    .2577613E+01    .5968668E+01
   -.4011716E-01   -.3825816E+01    .9870498E+00    .5968668E+01
   -.4361604E-01   -.2907504E+01   -.6035131E+00    .5968668E+01
   -.4654418E-01   -.1070880E+01   -.6035131E+00    .5968668E+01
   -.3540545E-01    .1320290E+01    .9870498E+00    .4794103E+01
   -.3328473E-01    .6882354E+00    .2932314E+01    .4794103E+01
   -.3633568E-01   -.9665055E+00    .4134554E+01    .4794103E+01
   -.3869242E-01   -.3011878E+01    .4134554E+01    .4794103E+01
   -.3371452E-01   -.4666619E+01    .2932314E+01    .4794103E+01
   -.3969759E-01   -.3011878E+01   -.2160454E+01    .4794103E+01
   -.4645703E-01   -.9665055E+00   -.2160454E+01    .4794103E+01
   -.4294987E-01    .6882354E+00   -.9582148E+00    .4794103E+01
   -.2754528E-01   -.1491754E+01    .5083817E+01    .3096808E+01
   -.3126049E-01   -.3452595E+01    .4845728E+01    .3096808E+01
   -.2617034E-01   -.5078188E+01    .3723662E+01    .3096808E+01
   -.2755818E-01   -.3452595E+01   -.2871628E+01    .3096808E+01
   -.4099148E-01   -.1491754E+01   -.3109717E+01    .3096808E+01
   -.4775061E-01    .3551300E+00   -.2409286E+01    .3096808E+01
   -.1851657E-01   -.3452595E+01    .4845728E+01    .1212952E+01
