    6  452    0
    .4359916E-04    .2488580E+01    .4997742E+01    .2597248E+00
   -.2686156E-02   -.3364540E+01    .4455370E+01    .2597248E+00
   -.7977734E-02   -.4746805E+01    .2939097E+01    .2597248E+00
   -.1114494E-01   -.5487988E+01    .1025883E+01    .2597248E+00
   -.1114494E-01   -.5487988E+01   -.1025883E+01    .2597248E+00
   -.7977734E-02   -.4746805E+01   -.2939097E+01    .2597248E+00
   -.2686156E-02   -.3364540E+01   -.4455370E+01    .2597248E+00
    .4359916E-04    .2488580E+01   -.4997742E+01    .2597248E+00
   -.5481245E-02    .4125924E+01   -.3761277E+01    .2597248E+00
   -.9919929E-02    .5206039E+01   -.2016830E+01    .2597248E+00
   -.1156287E-01    .5583050E+01    .0000000E+00   -.2597248E+00
   -.9919929E-02    .5206039E+01    .2016830E+01   -.2597248E+00
   -.5481245E-02    .4125924E+01    .3761277E+01   -.2597248E+00
    .4359916E-04    .2488580E+01    .4997742E+01   -.2597248E+00
   -.2686156E-02   -.3364540E+01    .4455370E+01   -.2597248E+00
   -.7977734E-02   -.4746805E+01    .2939097E+01   -.2597248E+00
   -.1114494E-01   -.5487988E+01    .1025883E+01   -.2597248E+00
   -.1114494E-01   -.5487988E+01   -.1025883E+01   -.2597248E+00
   -.7977734E-02   -.4746805E+01   -.2939097E+01   -.2597248E+00
   -.2686156E-02   -.3364540E+01   -.4455370E+01   -.2597248E+00
    .4359916E-04    .2488580E+01   -.4997742E+01   -.2597248E+00
   -.5481245E-02    .4125924E+01   -.3761277E+01   -.2597248E+00
   -.9919929E-02    .5206039E+01   -.2016830E+01   -.2597248E+00
   -.8012134E-02    .5583050E+01    .0000000E+00   -.2228610E+01
   -.6707509E-02    .5206039E+01    .2016830E+01   -.2228610E+01
   -.3025939E-02    .4125924E+01    .3761277E+01   -.2228610E+01
   -.5125816E-02   -.4746805E+01    .2939097E+01   -.2228610E+01
   -.7683066E-02   -.5487988E+01    .1025883E+01   -.2228610E+01
   -.7683066E-02   -.5487988E+01   -.1025883E+01   -.2228610E+01
   -.5125816E-02   -.4746805E+01   -.2939097E+01   -.2228610E+01
   -.3025939E-02    .4125924E+01   -.3761277E+01   -.2228610E+01
   -.6707509E-02    .5206039E+01   -.2016830E+01   -.2228610E+01
   -.4006259E-02    .4909652E+01    .0000000E+00   -.4078756E+01
   -.2701747E-02    .4485190E+01    .1996935E+01   -.4078756E+01
   -.3680425E-02   -.4802364E+01    .1020774E+01   -.4078756E+01
   -.3680425E-02   -.4802364E+01   -.1020774E+01   -.4078756E+01
   -.2701747E-02    .4485190E+01   -.1996935E+01   -.4078756E+01
   -.4083831E-03    .3644077E+01    .0000000E+00   -.5587010E+01
   -.3472653E-05   -.3496467E+01    .1026655E+01   -.5587010E+01
   -.3472653E-05   -.3496467E+01   -.1026655E+01   -.5587010E+01
    .2178935E-02    .1938973E+01    .0000000E+00   -.6571452E+01
    .2178935E-02   -.1938973E+01    .2374557E-15   -.6571452E+01
    .3141808E-02    .6942739E-15    .0000000E+00   -.6913345E+01
    .3581442E-02    .0000000E+00    .1727794E+01    .6851330E+01
    .2668070E-02    .1967811E+01    .1727794E+01    .6402190E+01
    .3926092E-02    .9839057E+00    .3431968E+01    .6402190E+01
    .3926092E-02   -.9839057E+00    .3431968E+01    .6402190E+01
    .2668070E-02   -.1967811E+01    .1727794E+01    .6402190E+01
    .2051565E-02    .2982979E+01    .3644838E+01    .5143727E+01
    .3973660E-02    .1473009E+01    .4953234E+01    .5143727E+01
    .4412327E-02   -.5046304E+00    .5237575E+01    .5143727E+01
    .3149062E-02   -.2322053E+01    .4407586E+01    .5143727E+01
    .8672129E-03   -.3402241E+01    .2726782E+01    .5143727E+01
   -.1234355E-02    .3983753E+01    .3646268E+01    .3325196E+01
