   29 1250
    -.7811800E-01   -.1060921E+02    .1492115E+01   -.2909846E+01
    -.7012524E-01   -.1060921E+02   -.3867472E+01   -.2909846E+01
    -.9133891E-01   -.9271063E+01    .5164971E+00   -.4168309E+01
    -.8157660E-01   -.1025497E+02   -.1187678E+01   -.4168309E+01
    -.8598995E-01   -.9271063E+01   -.2891854E+01   -.4168309E+01
    -.9694281E-01   -.8287157E+01   -.1187678E+01   -.4617449E+01
    -.9842350E-01   -.7238009E+01    .1140936E+01    .4730799E+01
    -.9619225E-01   -.6254103E+01    .2845111E+01    .4281659E+01
    -.8281671E-01   -.8221915E+01    .2845111E+01    .4281659E+01
    -.8675076E-01   -.9205821E+01    .1140936E+01    .4281659E+01
    -.1123386E+00   -.6254103E+01   -.5632395E+00    .4281659E+01
    -.7833672E-01   -.7742640E+01    .4650719E+01   -.2632287E+01
    -.7465711E-01   -.1064025E+02    .2139924E+01   -.2632287E+01
    -.1003200E+00   -.6254103E+01    .2845111E+01   -.3890750E+01
    -.8824104E-01   -.8221915E+01    .2845111E+01   -.3890750E+01
    -.9188552E-01   -.9205821E+01    .1140936E+01   -.3890750E+01
    -.1022158E+00   -.7238009E+01    .1140936E+01   -.4339890E+01
    -.1118392E+00   -.4575025E+01    .1461685E+01    .4695119E+01
    -.1250729E+00   -.2607213E+01    .1461685E+01    .4245979E+01
    -.1147533E+00   -.5558931E+01   -.2424905E+00    .4245979E+01
    -.1018222E+00   -.5558931E+01    .3165860E+01   -.3926430E+01
    -.1147726E+00   -.5558931E+01   -.2424905E+00   -.3926430E+01
    -.1106893E+00   -.4575025E+01    .1461685E+01   -.4375570E+01
    -.1058164E+00   -.3399745E+01    .3855950E+01    .4982962E+01
    -.9922539E-01   -.2415839E+01    .5560125E+01    .4533822E+01
    -.8845212E-01   -.4383651E+01    .5560125E+01    .4533822E+01
    -.9451991E-01   -.5367557E+01    .3855950E+01    .4533822E+01
    -.1224903E+00   -.2415839E+01    .2151774E+01    .4533822E+01
    -.8176577E-01   -.3904376E+01    .7365733E+01   -.2380123E+01
    -.8228485E-01   -.6801987E+01    .4854938E+01   -.2380123E+01
    -.1037053E+00   -.2415839E+01    .5560125E+01   -.3638586E+01
    -.9355358E-01   -.4383651E+01    .5560125E+01   -.3638586E+01
    -.1000129E+00   -.5367557E+01    .3855950E+01   -.3638586E+01
    -.1085728E+00   -.3399745E+01    .3855950E+01   -.4087727E+01
    -.1127504E+00   -.8446266E+00    .4066490E+01    .4928317E+01
    -.1138814E+00    .1123186E+01    .4066490E+01    .4479177E+01
    -.9880870E-01    .1392795E+00    .5770665E+01    .4479177E+01
    -.9867927E-01   -.1828533E+01    .5770665E+01    .4479177E+01
    -.1248952E+00   -.1828533E+01    .2362315E+01    .4479177E+01
    -.8596074E-01   -.1349257E+01    .7576273E+01   -.2434769E+01
    -.9919988E-01    .1392795E+00    .5770665E+01   -.3693232E+01
    -.1018234E+00   -.1828533E+01    .5770665E+01   -.3693232E+01
    -.1230092E+00   -.1828533E+01    .2362315E+01   -.3693232E+01
    -.1119384E+00   -.8446266E+00    .4066490E+01   -.4142372E+01
    -.1320738E+00    .7609892E+00    .1930588E+01    .4584011E+01
    -.1557041E+00    .1744895E+01    .2264131E+00    .4134870E+01
    -.1111532E+00    .1744895E+01    .3634764E+01   -.4037538E+01
    -.1235176E+00   -.1206823E+01    .1930588E+01   -.4037538E+01
    -.1206969E+00    .7609892E+00    .1930588E+01   -.4486678E+01
    -.1746492E+00    .1370096E+01   -.3765695E+01    .2684636E+01
    -.1481548E+00    .1370096E+01   -.3765695E+01   -.3599721E+01
    -.1077857E+00   -.2403074E+01   -.6424526E+01    .2449605E+01
    -.8879103E-01   -.3934660E+01   -.7687568E+01    .1121564E+01
    -.1007294E+00   -.1992687E+01   -.7687568E+01    .1121564E+01
    -.1263560E+00   -.4215977E+00   -.6546104E+01    .1121564E+01
    -.7874603E-01   -.4777811E+01   -.7841357E+01   -.6925735E+00
    -.8703277E-01   -.2963674E+01   -.8327454E+01   -.6925735E+00
    -.1041313E+00   -.1149536E+01   -.7841357E+01   -.6925735E+00
    -.1343945E+00    .1785051E+00   -.6513316E+01   -.6925735E+00
    -.8267804E-01   -.3934660E+01   -.7687568E+01   -.2506711E+01
    -.9343898E-01   -.1992687E+01   -.7687568E+01   -.2506711E+01
    -.1152139E+00   -.4215977E+00   -.6546104E+01   -.2506711E+01
